class,rep,date,boss,players,outcome,time,joy
BIOL5081,1,4-Sep,baby barbarian,3,won,156,4
BIOL5081,1,4-Sep,baby barbarian,4,won,96,3
BIOL5081,1,4-Sep,baby barbarian,5,won,86,5
BIOL3250,1,5-Sep,baby barbarian,2,lost,0,2
BIOL3250,1,5-Sep,baby barbarian,3,won,54,5
BIOL3250,1,5-Sep,baby barbarian,3,lost,0,4
BIOL3250,1,5-Sep,baby barbarian,5,won,95,5
BIOL3250,1,5-Sep,baby barbarian,5,won,93,5
BIOL3250,1,5-Sep,baby barbarian,5,won,14,4
BIOL5081,2,11-Sep,the grime reaper,3,won,93,4
BIOL5081,2,11-Sep,the grime reaper,4,won,59,5
BIOL5081,2,11-Sep,the grime reaper,4,won,2,3
BIOL3250,2,12-Sep,the grime reaper,2,lost,0,2
BIOL3250,2,12-Sep,the grime reaper,3,won,68,4
BIOL3250,2,12-Sep,the grime reaper,3,lost,0,4
BIOL3250,2,12-Sep,the grime reaper,4,won,129,5
BIOL3250,2,12-Sep,the grime reaper,5,won,81,5
BIOL3250,2,12-Sep,the grime reaper,5,won,69,5
